Trace name,ID,On time,Freq,Tags,Type,Seconds
2012_12_06_0026,1,6505.17,,bout start; shock,Inhibitory,6.505170000000001
2012_12_06_0026,2,6530.34,39.7298,,Inhibitory,6.530340000000001
2012_12_06_0026,3,6555.13,40.3388,,Inhibitory,6.55513
2012_12_06_0026,4,6581.68,37.6648,,Inhibitory,6.58168
2012_12_06_0026,5,6612.94,31.9898,,Inhibitory,6.61294
2012_12_06_0026,6,6644.17,32.0205,,Inhibitory,6.64417
2012_12_06_0026,7,6677.83,29.7089,,Inhibitory,6.67783
2012_12_06_0026,8,6711.22,29.9491,,Inhibitory,6.71122
2012_12_06_0026,9,6744.94,29.656,,Inhibitory,6.74494
2012_12_06_0026,10,6782.28,26.7809,,Inhibitory,6.78228
2012_12_06_0026,11,6819.04,27.2035,,Inhibitory,6.81904
2012_12_06_0026,12,6846.61,36.2713,,Inhibitory,6.84661
2012_12_06_0026,13,6878.52,31.3381,,Inhibitory,6.878520000000001
2012_12_06_0026,14,6913.94,28.2326,,Inhibitory,6.913939999999999
2012_12_06_0026,15,6951.87,26.3644,bout end,Inhibitory,6.95187
2012_12_06_0026,16,14770.24,0.1279,bout start; shock,Inhibitory,14.77024
2012_12_06_0026,17,14797.49,36.6972,,Inhibitory,14.79749
2012_12_06_0026,18,14826.36,34.638,,Inhibitory,14.826360000000001
2012_12_06_0026,19,14856.17,33.5458,,Inhibitory,14.85617
2012_12_06_0026,20,14894.71,25.9471,,Inhibitory,14.89471
2012_12_06_0026,21,14929.03,29.1375,,Inhibitory,14.929030000000001
2012_12_06_0026,22,14959.59,32.7225,,Inhibitory,14.95959
2012_12_06_0026,23,14994.4,28.7274,,Inhibitory,14.9944
2012_12_06_0026,24,15028.96,28.9352,,Inhibitory,15.02896
2012_12_06_0026,25,15069.37,24.7463,bout end,Inhibitory,15.069370000000001
2012_12_06_0026,26,24571.64,0.1052,bout start; shock,Inhibitory,24.57164
2012_12_06_0026,27,24598.95,36.6166,,Inhibitory,24.598950000000002
2012_12_06_0026,28,24626.63,36.1272,,Inhibitory,24.626630000000002
2012_12_06_0026,29,24656.0,34.0483,,Inhibitory,24.656
2012_12_06_0026,30,24686.18,33.1345,,Inhibitory,24.68618
