Trace name,ID,On time,Freq,Tags,Type,Seconds
2012_03_21_0027,1,25135.42,,bout start; shock,Excitatory,25.13542
2012_03_21_0027,2,25179.28,22.7998,,Excitatory,25.17928
2012_03_21_0027,3,25213.53,29.1971,,Excitatory,25.21353
2012_03_21_0027,4,25254.73,24.2718,,Excitatory,25.25473
2012_03_21_0027,5,25297.75,23.245,bout end,Excitatory,25.29775
2012_03_21_0027,6,27453.17,0.4639,bout start; shock,Excitatory,27.45317
2012_03_21_0027,7,27484.41,32.0102,,Excitatory,27.48441
2012_03_21_0027,8,27515.65,32.0102,,Excitatory,27.51565
2012_03_21_0027,9,27549.93,29.1715,,Excitatory,27.54993
2012_03_21_0027,10,27589.86,25.0438,bout end,Excitatory,27.58986
2012_03_21_0027,11,28613.78,0.9766,bout start; shock,Excitatory,28.61378
2012_03_21_0027,12,28644.36,32.7011,,Excitatory,28.644360000000002
2012_03_21_0027,13,28671.62,36.6838,,Excitatory,28.67162
2012_03_21_0027,14,28703.24,31.6256,,Excitatory,28.70324
2012_03_21_0027,15,28738.82,28.1057,,Excitatory,28.73882
2012_03_21_0027,16,28774.13,28.3206,,Excitatory,28.774130000000003
2012_03_21_0027,17,28812.65,25.9605,,Excitatory,28.81265
2012_03_21_0027,18,28852.33,25.2016,,Excitatory,28.852330000000002
2012_03_21_0027,19,28891.43,25.5754,,Excitatory,28.89143
2012_03_21_0027,20,28928.91,26.6809,,Excitatory,28.928910000000002
2012_03_21_0027,21,28966.29,26.7523,,Excitatory,28.96629
2012_03_21_0027,22,29003.6,26.8025,,Excitatory,29.0036
2012_03_21_0027,23,29042.26,25.8665,,Excitatory,29.04226
2012_03_21_0027,24,29078.68,27.4574,bout end,Excitatory,29.078680000000002
2012_03_21_0027,25,29277.47,5.0304,bout start; shock,Excitatory,29.27747
2012_03_21_0027,26,29311.52,29.3686,,Excitatory,29.31152
2012_03_21_0027,27,29350.8,25.4582,,Excitatory,29.3508
2012_03_21_0027,28,29393.09,23.6463,,Excitatory,29.39309
2012_03_21_0027,29,29427.8,28.8101,,Excitatory,29.4278
2012_03_21_0027,30,29471.33,22.9727,,Excitatory,29.471330000000002
2012_03_21_0027,31,29503.91,30.6937,,Excitatory,29.50391
2012_03_21_0027,32,29540.51,27.3224,,Excitatory,29.540509999999998
2012_03_21_0027,33,29577.94,26.7165,,Excitatory,29.577939999999998
2012_03_21_0027,34,29619.16,24.2601,,Excitatory,29.61916
2012_03_21_0027,35,29661.15,23.8152,,Excitatory,29.661150000000003
2012_03_21_0027,36,29702.66,24.0906,bout end,Excitatory,29.70266
2012_03_21_0027,37,33771.92,0.2457,bout start; shock,Excitatory,33.77192
2012_03_21_0027,38,33804.46,30.7314,,Excitatory,33.80446
2012_03_21_0027,39,33839.25,28.7439,,Excitatory,33.83925
2012_03_21_0027,40,33882.58,23.0787,,Excitatory,33.882580000000004
2012_03_21_0027,41,33919.53,27.0636,,Excitatory,33.91953
2012_03_21_0027,42,33962.95,23.0309,,Excitatory,33.96295
2012_03_21_0027,43,34005.91,23.2775,bout end,Excitatory,34.00591000000001
2013_03_21_0023,1,17767.46,,bout start; shock,Cell-attached,17.76746
2013_03_21_0023,2,17804.38,27.0856,,Cell-attached,17.804380000000002
2013_03_21_0023,3,17848.97,22.4266,,Cell-attached,17.84897
2013_03_21_0023,4,17883.15,29.2569,,Cell-attached,17.88315
2013_03_21_0023,5,17920.95,26.455,,Cell-attached,17.92095
2013_03_21_0023,6,17959.9,25.6739,,Cell-attached,17.9599
2013_03_21_0023,7,17999.0,25.5754,,Cell-attached,17.999
2013_03_21_0023,8,18039.39,24.7586,,Cell-attached,18.03939
2013_03_21_0023,9,18078.9,25.31,,Cell-attached,18.0789
2013_03_21_0023,10,18104.09,39.6983,,Cell-attached,18.10409
2013_03_21_0023,11,18124.7,48.5201,,Cell-attached,18.1247
2013_03_21_0023,12,18168.68,22.7376,,Cell-attached,18.168680000000002
2013_03_21_0023,13,18207.87,25.5167,,Cell-attached,18.20787
2013_03_21_0023,14,18243.39,28.1532,,Cell-attached,18.24339
2013_03_21_0023,15,18284.42,24.3724,,Cell-attached,18.284419999999997
2013_03_21_0023,16,18324.79,24.7709,,Cell-attached,18.32479
2013_03_21_0023,17,18363.64,25.74,,Cell-attached,18.36364
2013_03_21_0023,18,18402.9,25.4712,,Cell-attached,18.402900000000002
2013_03_21_0023,19,18440.38,26.6809,,Cell-attached,18.44038
2013_03_21_0023,20,18480.7,24.8016,,Cell-attached,18.480700000000002
2013_03_21_0023,21,18524.67,22.7428,,Cell-attached,18.52467
2013_03_21_0023,22,18566.79,23.7417,,Cell-attached,18.56679
2013_03_21_0023,23,18605.9,25.5689,,Cell-attached,18.605900000000002
2013_03_21_0023,24,18643.06,26.9107,,Cell-attached,18.643060000000002
2013_03_21_0023,25,18683.86,24.5098,,Cell-attached,18.68386
2013_03_21_0023,26,18727.82,22.748,,Cell-attached,18.72782
2013_03_21_0023,27,18764.58,27.2035,,Cell-attached,18.764580000000002
2013_03_21_0023,28,18803.82,25.4842,,Cell-attached,18.80382
2013_03_21_0023,29,18849.45,21.9154,,Cell-attached,18.84945
2013_03_21_0023,30,18892.16,23.4137,,Cell-attached,18.89216
2013_03_21_0023,31,18932.31,24.9066,,Cell-attached,18.93231
2013_03_21_0023,32,18977.87,21.9491,,Cell-attached,18.97787
2013_03_21_0023,33,19012.91,28.5388,,Cell-attached,19.01291
2013_03_21_0023,34,19053.48,24.6488,,Cell-attached,19.05348
2013_03_21_0023,35,19088.03,28.9436,,Cell-attached,19.08803
2013_03_21_0023,36,19137.31,20.2922,,Cell-attached,19.137310000000003
2013_03_21_0023,37,19171.68,29.0951,,Cell-attached,19.171680000000002
2013_03_21_0023,38,19216.37,22.3764,,Cell-attached,19.216369999999998
2013_03_21_0023,39,19259.33,23.2775,,Cell-attached,19.259330000000002
2013_03_21_0023,40,19303.57,22.604,,Cell-attached,19.30357
2013_03_21_0023,41,19340.83,26.8384,,Cell-attached,19.34083
2013_03_21_0023,42,19380.87,24.975,,Cell-attached,19.380869999999998
2013_03_21_0023,43,19428.19,21.1327,bout end,Cell-attached,19.42819
2013_03_21_0023,44,24271.44,0.2065,bout start; shock,Cell-attached,24.27144
2013_03_21_0023,45,24308.08,27.2926,,Cell-attached,24.308080000000004
2013_03_21_0023,46,24351.4,23.084,,Cell-attached,24.3514
2013_03_21_0023,47,24394.53,23.1857,,Cell-attached,24.39453
2013_03_21_0023,48,24447.66,18.8218,,Cell-attached,24.44766
2013_03_21_0023,49,24498.43,19.6967,,Cell-attached,24.49843
2013_03_21_0023,50,24541.43,23.2558,,Cell-attached,24.541430000000002
2013_03_21_0023,51,24585.02,22.941,,Cell-attached,24.58502
2013_03_21_0023,52,24634.85,20.0682,,Cell-attached,24.63485
2013_03_21_0023,53,24681.2,21.575,bout end,Cell-attached,24.6812
2013_03_21_0023,54,44717.12,0.0499,bout start; shock,Cell-attached,44.71712
2013_03_21_0023,55,44774.1,17.55,,Cell-attached,44.7741
2013_03_21_0023,56,44830.09,17.8603,,Cell-attached,44.83009
2013_03_21_0023,57,44861.34,32.0,,Cell-attached,44.86134
2013_03_21_0023,58,44902.45,24.325,,Cell-attached,44.902449999999995
2013_03_21_0023,59,44953.26,19.6812,,Cell-attached,44.95326
2013_03_21_0023,60,44988.39,28.4657,,Cell-attached,44.98839
2013_03_21_0023,61,45034.34,21.7628,,Cell-attached,45.03434
2013_03_21_0023,62,45077.61,23.1107,,Cell-attached,45.07761
2013_03_21_0023,63,45116.73,25.5624,bout end,Cell-attached,45.116730000000004
2013_03_21_0023,64,46449.76,0.7502,bout start; shock,Cell-attached,46.449760000000005
2013_03_21_0023,65,46485.56,27.933,,Cell-attached,46.48556
2013_03_21_0023,66,46517.59,31.2207,,Cell-attached,46.51759
2013_03_21_0023,67,46550.51,30.3767,,Cell-attached,46.55051
2013_03_21_0023,68,46587.11,27.3224,,Cell-attached,46.58711
2013_03_21_0023,69,46621.06,29.4551,,Cell-attached,46.62106
2013_03_21_0023,70,46657.5,27.4424,,Cell-attached,46.6575
2013_03_21_0023,71,46699.61,23.7473,,Cell-attached,46.69961
2013_03_21_0023,72,46739.52,25.0564,,Cell-attached,46.73952
2013_03_21_0023,73,46783.71,22.6296,,Cell-attached,46.78371
2013_03_21_0023,74,46826.33,23.4632,,Cell-attached,46.826330000000006
2013_03_21_0023,75,46868.24,23.8607,,Cell-attached,46.86824
2013_03_21_0023,76,46913.45,22.119,,Cell-attached,46.91345
2013_03_21_0023,77,46955.25,23.9234,,Cell-attached,46.95525
2013_03_21_0023,78,46994.15,25.7069,,Cell-attached,46.994150000000005
2013_03_21_0023,79,47034.77,24.6184,,Cell-attached,47.034769999999995
2013_03_21_0023,80,47075.9,24.3132,,Cell-attached,47.075900000000004
2013_03_21_0023,81,47120.58,22.3814,,Cell-attached,47.120580000000004
2013_03_21_0023,82,47159.82,25.4842,,Cell-attached,47.15982
2013_03_21_0023,83,47206.1,21.6076,,Cell-attached,47.2061
2013_03_21_0023,84,47250.82,22.3614,,Cell-attached,47.25082
2013_03_21_0023,85,47292.29,24.1138,,Cell-attached,47.29229
