Trace name,ID,On time,Freq,Tags,Type,Seconds
2012_06_25_0041,1,1873.73,,bout start; shock,Inhibitory,1.8737300000000001
2012_06_25_0041,2,1894.75,47.5737,,Inhibitory,1.89475
2012_06_25_0041,3,1925.51,32.5098,,Inhibitory,1.92551
2012_06_25_0041,4,1963.04,26.6454,,Inhibitory,1.96304
2012_06_25_0041,5,1995.02,31.2695,,Inhibitory,1.99502
2012_06_25_0041,6,2031.93,27.0929,bout end,Inhibitory,2.03193
2012_06_25_0041,7,2232.32,4.9903,bout start; spontaneous,Inhibitory,2.23232
2012_06_25_0041,8,2266.05,29.6472,,Inhibitory,2.2660500000000003
2012_06_25_0041,9,2301.03,28.5878,,Inhibitory,2.3010300000000004
2012_06_25_0041,10,2335.82,28.7439,,Inhibitory,2.33582
2012_06_25_0041,11,2369.9,29.3427,,Inhibitory,2.3699000000000003
2012_06_25_0041,12,2402.7,30.4878,,Inhibitory,2.4027
2012_06_25_0041,13,2435.29,30.6843,,Inhibitory,2.43529
2012_06_25_0041,14,2468.03,30.5437,,Inhibitory,2.46803
2012_06_25_0041,15,2503.07,28.5388,,Inhibitory,2.50307
2012_06_25_0041,16,2537.58,28.9771,,Inhibitory,2.53758
2012_06_25_0041,17,2570.64,30.248,,Inhibitory,2.57064
2012_06_25_0041,18,2606.33,28.0191,,Inhibitory,2.60633
2012_06_25_0041,19,2640.15,29.5683,,Inhibitory,2.64015
2012_06_25_0041,20,2674.27,29.3083,bout end,Inhibitory,2.67427
2012_06_25_0041,21,3082.13,2.4518,bout start; spontaneous,Inhibitory,3.0821300000000003
2012_06_25_0041,22,3115.98,29.5421,,Inhibitory,3.11598
2012_06_25_0041,23,3155.03,25.6082,,Inhibitory,3.1550300000000004
2012_06_25_0041,24,3194.99,25.025,,Inhibitory,3.1949899999999998
2012_06_25_0041,25,3231.33,27.5179,,Inhibitory,3.23133
2012_06_25_0041,26,3271.42,24.9439,,Inhibitory,3.27142
2012_06_25_0041,27,3307.22,27.933,bout end,Inhibitory,3.30722
2012_06_25_0041,28,3810.93,1.9853,bout start; spontaneous,Inhibitory,3.81093
2012_06_25_0041,29,3853.77,23.3427,,Inhibitory,3.85377
2012_06_25_0041,30,3897.54,22.8467,,Inhibitory,3.8975400000000002
2012_06_25_0041,31,3938.82,24.2248,,Inhibitory,3.93882
2012_06_25_0041,32,3981.78,23.2775,,Inhibitory,3.98178
2012_06_25_0041,33,4026.85,22.1877,bout end,Inhibitory,4.02685
2012_06_25_0041,34,4664.47,1.5683,bout start; spontaneous,Inhibitory,4.664470000000001
2012_06_25_0041,35,4717.6,18.8218,,Inhibitory,4.717600000000001
2012_06_25_0041,36,4762.31,22.3664,,Inhibitory,4.76231
2012_06_25_0041,37,4799.32,27.0197,,Inhibitory,4.79932
2012_06_25_0041,38,4841.22,23.8663,bout end,Inhibitory,4.841220000000001
2012_06_25_0042,1,1821.68,,bout start; shock,Inhibitory,1.8216800000000002
2012_06_25_0042,2,1834.89,75.7002,,Inhibitory,1.8348900000000001
2012_06_25_0042,3,1873.54,25.8732,,Inhibitory,1.87354
2012_06_25_0042,4,1908.19,28.86,,Inhibitory,1.90819
2012_06_25_0042,5,1943.06,28.6779,,Inhibitory,1.94306
2012_06_25_0042,6,1977.17,29.3169,bout end,Inhibitory,1.97717
2012_06_25_0042,7,2579.36,1.6606,bout start; spontaneous,Inhibitory,2.5793600000000003
2012_06_25_0042,8,2608.8,33.9674,,Inhibitory,2.6088000000000005
2012_06_25_0042,9,2648.81,24.9938,,Inhibitory,2.64881
2012_06_25_0042,10,2685.9,26.9614,,Inhibitory,2.6859
2012_06_25_0042,11,2721.66,27.9642,,Inhibitory,2.72166
2012_06_25_0042,12,2757.62,27.8087,,Inhibitory,2.7576199999999997
2012_06_25_0042,13,2792.24,28.885,,Inhibitory,2.79224
2012_06_25_0042,14,2827.14,28.6533,bout end,Inhibitory,2.82714
2012_06_25_0042,15,3419.35,1.6886,bout start; spontaneous,Inhibitory,3.41935
2012_06_25_0042,16,3451.87,30.7503,,Inhibitory,3.45187
2012_06_25_0042,17,3487.96,27.7085,,Inhibitory,3.48796
2012_06_25_0042,18,3527.59,25.2334,,Inhibitory,3.52759
2012_06_25_0042,19,3571.49,22.779,,Inhibitory,3.57149
2012_06_25_0042,20,3608.84,26.7738,,Inhibitory,3.6088400000000003
2012_06_25_0042,21,3645.13,27.5558,bout end,Inhibitory,3.64513
