Trace name,ID,On time,Freq,Tags,Type,Seconds
2012_04_25_0004,1,1285.99,,bout start; shock,Inhibitory,1.28599
2012_04_25_0004,2,1305.92,50.1756,,Inhibitory,1.3059200000000002
2012_04_25_0004,3,1340.95,28.547,,Inhibitory,1.34095
2012_04_25_0004,4,1371.3,32.9489,,Inhibitory,1.3713
2012_04_25_0004,5,1405.23,29.4724,bout end,Inhibitory,1.40523
2012_04_25_0005,1,1933.41,,bout start; shock,Inhibitory,1.93341
2012_04_25_0005,2,1955.98,44.3066,,Inhibitory,1.95598
2012_04_25_0005,3,1980.89,40.1445,,Inhibitory,1.98089
2012_04_25_0005,4,2012.87,31.2695,,Inhibitory,2.01287
2012_04_25_0005,5,2043.33,32.8299,,Inhibitory,2.04333
2012_04_25_0005,6,2070.12,37.3274,,Inhibitory,2.0701199999999997
2012_04_25_0005,7,2096.61,37.7501,,Inhibitory,2.09661
2012_04_25_0005,8,2124.96,35.2734,,Inhibitory,2.12496
2012_04_25_0005,9,2157.81,30.4414,bout end,Inhibitory,2.15781
2012_04_25_0005,10,3449.5,0.7742,bout start; spontaneous,Inhibitory,3.4495
2012_04_25_0005,11,3476.36,37.2301,,Inhibitory,3.47636
2012_04_25_0005,12,3504.29,35.8038,,Inhibitory,3.50429
2012_04_25_0005,13,3534.21,33.4225,,Inhibitory,3.5342100000000003
2012_04_25_0005,14,3566.89,30.5998,,Inhibitory,3.56689
2012_04_25_0005,15,3600.41,29.8329,,Inhibitory,3.60041
2012_04_25_0005,16,3633.09,30.5998,,Inhibitory,3.63309
2012_04_25_0005,17,3666.01,30.3767,,Inhibitory,3.6660100000000004
2012_04_25_0005,18,3696.56,32.7332,,Inhibitory,3.69656
2012_04_25_0005,19,3729.66,30.2115,,Inhibitory,3.72966
2012_04_25_0005,20,3761.93,30.9885,bout end,Inhibitory,3.76193
2012_04_25_0005,21,4135.55,2.6765,bout start; shock,Inhibitory,4.13555
2012_04_25_0005,22,4158.58,43.4216,,Inhibitory,4.15858
2012_04_25_0005,23,4178.69,49.7265,,Inhibitory,4.17869
2012_04_25_0005,24,4200.94,44.9438,,Inhibitory,4.20094
2012_04_25_0005,25,4225.97,39.9521,,Inhibitory,4.22597
2012_04_25_0005,26,4252.98,37.0233,,Inhibitory,4.25298
2012_04_25_0005,27,4284.66,31.5657,,Inhibitory,4.28466
2012_04_25_0005,28,4316.93,30.9885,bout end,Inhibitory,4.31693
2012_04_25_0005,29,6460.44,0.4665,bout start; shock,Inhibitory,6.460439999999999
2012_04_25_0005,30,6482.51,45.3104,,Inhibitory,6.48251
2012_04_25_0005,31,6508.18,38.956,,Inhibitory,6.50818
2012_04_25_0005,32,6540.56,30.8833,,Inhibitory,6.54056
2012_04_25_0005,33,6571.53,32.2893,,Inhibitory,6.57153
2012_04_25_0005,34,6604.69,30.1568,,Inhibitory,6.60469
2012_04_25_0005,35,6639.92,28.3849,,Inhibitory,6.63992
2012_04_25_0005,36,6669.56,33.7382,,Inhibitory,6.669560000000001
2012_04_25_0005,37,6702.66,30.2115,bout end,Inhibitory,6.70266
2012_04_25_0006,1,2458.05,,bout start; shock,Inhibitory,2.45805
2012_04_25_0006,2,2482.89,40.2576,,Inhibitory,2.48289
2012_04_25_0006,3,2506.12,43.0478,,Inhibitory,2.50612
2012_04_25_0006,4,2536.86,32.5309,,Inhibitory,2.5368600000000003
2012_04_25_0006,5,2572.03,28.4333,,Inhibitory,2.5720300000000003
2012_04_25_0006,6,2606.59,28.9352,bout end,Inhibitory,2.60659
2012_04_25_0006,7,3271.48,1.504,bout start; spontaneous,Inhibitory,3.27148
2012_04_25_0006,8,3297.79,38.0084,,Inhibitory,3.29779
2012_04_25_0006,9,3324.98,36.7782,,Inhibitory,3.32498
2012_04_25_0006,10,3351.38,37.8788,,Inhibitory,3.3513800000000002
2012_04_25_0006,11,3378.12,37.3972,,Inhibitory,3.37812
2012_04_25_0006,12,3409.03,32.352,,Inhibitory,3.4090300000000004
2012_04_25_0006,13,3440.13,32.1543,,Inhibitory,3.4401300000000004
2012_04_25_0006,14,3471.59,31.7864,bout end,Inhibitory,3.4715900000000004
2012_04_25_0006,15,3970.13,2.0059,bout start; spontaneous,Inhibitory,3.97013
2012_04_25_0006,16,3994.62,40.833,,Inhibitory,3.99462
2012_04_25_0006,17,4018.82,41.3223,,Inhibitory,4.01882
2012_04_25_0006,18,4050.56,31.506,,Inhibitory,4.05056
2012_04_25_0006,19,4081.84,31.9693,,Inhibitory,4.081840000000001
2012_04_25_0006,20,4114.46,30.656,,Inhibitory,4.11446
2012_04_25_0006,21,4148.36,29.4985,bout end,Inhibitory,4.148359999999999
2012_04_25_0006,22,4774.35,1.5975,bout start; spontaneous,Inhibitory,4.77435
2012_04_25_0006,23,4797.18,43.802,,Inhibitory,4.79718
2012_04_25_0006,24,4819.77,44.2674,,Inhibitory,4.81977
2012_04_25_0006,25,4851.43,31.5856,,Inhibitory,4.851430000000001
2012_04_25_0006,26,4882.35,32.3415,,Inhibitory,4.882350000000001
2012_04_25_0006,27,4916.08,29.6472,,Inhibitory,4.91608
2012_04_25_0006,28,4948.15,31.1818,,Inhibitory,4.94815
2012_04_25_0006,29,4981.06,30.3859,,Inhibitory,4.98106
2012_04_25_0006,30,5013.3,31.0174,,Inhibitory,5.0133
2012_04_25_0006,31,5039.93,37.5516,,Inhibitory,5.03993
2012_04_25_0006,32,5063.99,41.5628,,Inhibitory,5.0639899999999995
2012_04_25_0006,33,5085.45,46.5983,,Inhibitory,5.08545
2012_04_25_0006,34,5110.28,40.2739,,Inhibitory,5.1102799999999995
2012_04_25_0006,35,5145.03,28.777,,Inhibitory,5.14503
2012_04_25_0006,36,5181.83,27.1739,bout end,Inhibitory,5.18183
2012_04_25_0006,37,6745.01,0.6397,bout start; shock,Inhibitory,6.745010000000001
2012_04_25_0006,38,6759.42,69.3963,,Inhibitory,6.75942
2012_04_25_0006,39,6781.74,44.8029,,Inhibitory,6.78174
2012_04_25_0006,40,6808.76,37.0096,,Inhibitory,6.80876
2012_04_25_0006,41,6838.52,33.6022,,Inhibitory,6.838520000000001
2012_04_25_0006,42,6873.59,28.5144,,Inhibitory,6.87359
2012_04_25_0006,43,6907.67,29.3427,bout end,Inhibitory,6.90767
2012_04_25_0000,1,4945.88,,bout start; shock,Excitatory,4.94588
2012_04_25_0000,2,4964.08,54.9451,,Excitatory,4.96408
2012_04_25_0000,3,4986.86,43.8982,,Excitatory,4.98686
2012_04_25_0000,4,5014.33,36.4033,,Excitatory,5.01433
2012_04_25_0000,5,5046.28,31.2989,,Excitatory,5.046279999999999
2012_04_25_0000,6,5075.7,33.9905,,Excitatory,5.0757
2012_04_25_0000,7,5108.83,30.1841,,Excitatory,5.10883
2012_04_25_0000,8,5138.67,33.5121,,Excitatory,5.13867
2012_04_25_0000,9,5170.86,31.0655,,Excitatory,5.170859999999999
2012_04_25_0000,10,5198.11,36.6972,,Excitatory,5.19811
2012_04_25_0000,11,5231.34,30.0933,bout end,Excitatory,5.23134
2012_04_25_0000,12,6144.79,1.0948,bout start; spontaneous,Excitatory,6.14479
2012_04_25_0000,13,6171.91,36.8732,,Excitatory,6.17191
2012_04_25_0000,14,6202.56,32.6264,,Excitatory,6.202560000000001
2012_04_25_0000,15,6236.11,29.8063,,Excitatory,6.23611
2012_04_25_0000,16,6274.25,26.2192,,Excitatory,6.27425
2012_04_25_0000,17,6307.62,29.967,,Excitatory,6.30762
2012_04_25_0000,18,6340.56,30.3582,,Excitatory,6.340560000000001
2012_04_25_0000,19,6369.01,35.1494,,Excitatory,6.36901
2012_04_25_0000,20,6396.46,36.4299,,Excitatory,6.39646
2012_04_25_0000,21,6432.86,27.4725,,Excitatory,6.43286
2012_04_25_0000,22,6465.64,30.5064,,Excitatory,6.4656400000000005
2012_04_25_0000,23,6498.96,30.012,,Excitatory,6.49896
2012_04_25_0000,24,6534.0,28.5388,,Excitatory,6.534
2012_04_25_0000,25,6560.61,37.5799,,Excitatory,6.56061
2012_04_25_0000,26,6588.47,35.8938,,Excitatory,6.58847
2012_04_25_0000,27,6614.23,38.8199,,Excitatory,6.61423
2012_04_25_0000,28,6643.17,34.5543,,Excitatory,6.6431700000000005
2012_04_25_0000,29,6676.86,29.6824,,Excitatory,6.67686
2012_04_25_0000,30,6710.56,29.6736,,Excitatory,6.710560000000001
2012_04_25_0000,31,6746.08,28.1532,bout end,Excitatory,6.74608
2012_04_25_0000,32,8809.16,0.4847,bout start; shock,Excitatory,8.80916
2012_04_25_0000,33,8831.81,44.1501,,Excitatory,8.831809999999999
2012_04_25_0000,34,8854.25,44.5633,,Excitatory,8.85425
2012_04_25_0000,35,8881.79,36.3108,,Excitatory,8.88179
2012_04_25_0000,36,8914.66,30.4229,,Excitatory,8.91466
2012_04_25_0000,37,8952.42,26.4831,bout end,Excitatory,8.95242
2012_04_25_0001,1,1694.22,,bout start; shock,Excitatory,1.69422
2012_04_25_0001,2,1709.7,64.5995,,Excitatory,1.7097
2012_04_25_0001,3,1736.78,36.9276,,Excitatory,1.73678
2012_04_25_0001,4,1773.97,26.8889,bout end,Excitatory,1.77397
2012_04_25_0001,5,2684.16,1.0987,bout start; shock,Excitatory,2.68416
2012_04_25_0001,6,2710.01,38.6847,,Excitatory,2.7100100000000005
2012_04_25_0001,7,2736.11,38.3142,,Excitatory,2.73611
2012_04_25_0001,8,2767.78,31.5756,,Excitatory,2.76778
2012_04_25_0001,9,2803.82,27.7469,,Excitatory,2.8038200000000004
2012_04_25_0001,10,2834.75,32.3311,,Excitatory,2.83475
2012_04_25_0001,11,2870.22,28.1928,bout end,Excitatory,2.8702199999999998
2012_04_25_0001,12,4068.9,0.8343,bout start; shock,Excitatory,4.0689
2012_04_25_0001,13,4099.19,33.0142,,Excitatory,4.09919
2012_04_25_0001,14,4130.46,31.9795,,Excitatory,4.13046
2012_04_25_0001,15,4159.19,34.8068,,Excitatory,4.15919
2012_04_25_0001,16,4195.0,27.9252,,Excitatory,4.195
2012_04_25_0001,17,4227.34,30.9215,,Excitatory,4.22734
2012_04_25_0001,18,4266.36,25.6279,,Excitatory,4.26636
2012_04_25_0001,19,4298.8,30.8261,bout end,Excitatory,4.2988
2012_04_25_0002,1,4331.3,,bout start; shock,Excitatory,4.331300000000001
2012_04_25_0002,2,4361.61,32.9924,,Excitatory,4.36161
2012_04_25_0002,3,4401.64,24.9813,,Excitatory,4.40164
2012_04_25_0002,4,4434.62,30.3214,bout end,Excitatory,4.43462
2012_04_25_0002,5,4499.14,15.4991,bout start; shock,Excitatory,4.499140000000001
2012_04_25_0002,6,4523.53,41.0004,,Excitatory,4.52353
2012_04_25_0002,7,4552.62,34.3761,,Excitatory,4.55262
2012_04_25_0002,8,4585.08,30.8071,,Excitatory,4.58508
2012_04_25_0002,9,4617.92,30.4507,,Excitatory,4.61792
2012_04_25_0002,10,4647.46,33.8524,,Excitatory,4.64746
2012_04_25_0002,11,4673.86,37.8788,,Excitatory,4.6738599999999995
2012_04_25_0002,12,4701.39,36.324,,Excitatory,4.701390000000001
2012_04_25_0002,13,4726.57,39.7141,,Excitatory,4.72657
2012_04_25_0002,14,4755.3,34.8068,,Excitatory,4.7553
2012_04_25_0002,15,4780.8,39.2157,,Excitatory,4.7808
2012_04_25_0002,16,4808.89,35.5999,,Excitatory,4.808890000000001
2012_04_25_0002,17,4846.59,26.5252,bout end,Excitatory,4.84659
