Trace name,ID,On time,Freq,Tags,Type,Seconds
2012_12_06_0027,1,11687.4,,bout start; spontaneous,Cell-attached,11.6874
2012_12_06_0027,2,11724.37,27.049,,Cell-attached,11.72437
2012_12_06_0027,3,11771.2,21.3538,,Cell-attached,11.7712
2012_12_06_0027,4,11813.53,23.6239,,Cell-attached,11.81353
2012_12_06_0027,5,11863.07,20.1857,,Cell-attached,11.86307
2012_12_06_0027,6,11903.79,24.558,,Cell-attached,11.90379
2012_12_06_0027,7,11948.66,22.2866,,Cell-attached,11.94866
2012_12_06_0027,8,11997.67,20.404,bout end,Cell-attached,11.997670000000001
2012_12_06_0027,9,13480.65,0.6743,bout start; spontaneous,Cell-attached,13.48065
2012_12_06_0027,10,13554.55,13.5318,,Cell-attached,13.554549999999999
2012_12_06_0027,11,13623.12,14.5836,,Cell-attached,13.623120000000002
2012_12_06_0027,12,13674.15,19.5963,,Cell-attached,13.67415
2012_12_06_0027,13,13723.02,20.4625,,Cell-attached,13.72302
2012_12_06_0027,14,13774.85,19.2938,bout end,Cell-attached,13.77485
2012_12_06_0027,15,14461.46,1.4564,bout start; spontaneous,Cell-attached,14.461459999999999
2012_12_06_0027,16,14501.15,25.1953,,Cell-attached,14.501149999999999
2012_12_06_0027,17,14540.4,25.4777,,Cell-attached,14.5404
2012_12_06_0027,18,14595.23,18.2382,bout end,Cell-attached,14.595229999999999
2012_12_06_0027,19,15011.77,2.4007,bout start; spontaneous,Cell-attached,15.01177
2012_12_06_0027,20,15053.21,24.1313,,Cell-attached,15.05321
2012_12_06_0027,21,15097.68,22.4871,,Cell-attached,15.09768
2012_12_06_0027,22,15143.87,21.6497,,Cell-attached,15.143870000000001
2012_12_06_0027,23,15192.75,20.4583,,Cell-attached,15.19275
2012_12_06_0027,24,15239.37,21.45,,Cell-attached,15.239370000000001
2012_12_06_0027,25,15292.44,18.843,,Cell-attached,15.292440000000001
2012_12_06_0027,26,15333.33,24.4559,,Cell-attached,15.33333
2012_12_06_0027,27,15377.36,22.7118,,Cell-attached,15.377360000000001
2012_12_06_0027,28,15419.89,23.5128,,Cell-attached,15.41989
2012_12_06_0027,29,15470.92,19.5963,,Cell-attached,15.47092
2012_12_06_0027,30,15511.2,24.8262,,Cell-attached,15.5112
2012_12_06_0027,31,15551.41,24.8694,,Cell-attached,15.55141
2012_12_06_0027,32,15591.25,25.1004,,Cell-attached,15.59125
2012_12_06_0027,33,15639.92,20.5465,,Cell-attached,15.63992
2012_12_06_0027,34,15683.24,23.084,,Cell-attached,15.68324
2012_12_06_0027,35,15730.54,21.1416,,Cell-attached,15.730540000000001
2012_12_06_0027,36,15776.76,21.6357,,Cell-attached,15.776760000000001
2012_12_06_0027,37,15818.75,23.8152,,Cell-attached,15.81875
2012_12_06_0027,38,15865.62,21.3356,,Cell-attached,15.865620000000002
2012_12_06_0027,39,15913.17,21.0305,,Cell-attached,15.913170000000001
