,Inhibitory,,,,,,Excitatory,,,,,,Statistics,,,,
,Trace name,ID,On time,Frequency,Swim description,,Trace name,ID,On time,Freq,Swim description,,,Inhibitory Current,Inhibitory Charge,Normalized Inhibitory Current,Normalized Inhibitory Charge
,2012_04_25_0031,46,4833.21,28.1215,bout end,,2012_04_25_0027,51,8192.62,25.3421,bout end,,,,,,
,2012_04_25_0031,47,5045.47,4.7112,bout start; spontaneous,,2012_04_25_0027,52,8567.08,2.6705,bout start; spontaneous,,,,,,
,2012_04_25_0031,48,5077.89,30.8452,,,2012_04_25_0027,53,8601.75,28.8434,,,,,,,
,2012_04_25_0031,49,5109.5,31.6356,,,2012_04_25_0027,54,8638.79,26.9978,,,,,,,
,2012_04_25_0031,50,5144.82,28.3126,,,2012_04_25_0027,55,8675.33,27.3673,,,,,,,
,2012_04_25_0031,51,5175.96,32.113,,,2012_04_25_0027,56,8719.96,22.4065,,,,,,,
,2012_04_25_0031,52,5213.78,26.441,,,2012_04_25_0027,57,8750.53,32.7118,,,,,,,
,2012_04_25_0031,53,5253.85,24.9563,bout end,,2012_04_25_0027,58,8785.2,28.8434,,,,,,,
,2012_04_25_0031,54,5519.95,3.758,bout start; spontaneous,,2012_04_25_0027,59,8823.88,25.8532,bout end,,,,,,
,2012_04_25_0031,55,5553.59,29.7265,,,2012_04_25_0027,60,9014.51,5.2458,bout start; spontaneous,,,,,,
,2012_04_25_0031,56,5590.19,27.3224,,,2012_04_25_0027,61,9046.38,31.3775,,,,,,,
,2012_04_25_0031,57,5626.53,27.5179,,,2012_04_25_0027,62,9084.29,26.3783,,,,,,,
,2012_04_25_0031,58,5665.79,25.4712,,,2012_04_25_0027,63,9120.98,27.2554,bout end,,,,,,
,2012_04_25_0031,59,5706.36,24.6488,,,2012_04_25_0028,1,2766.42,,bout start; shock,,,,,,
,2012_04_25_0031,60,5739.4,30.2663,bout end,,2012_04_25_0028,2,2789.42,43.4783,,,,,,,
,2012_04_25_0031,61,7176.81,0.6957,bout start; spontaneous,,2012_04_25_0028,3,2810.42,47.619,,,,,,,
,2012_04_25_0031,62,7202.97,38.2263,,,2012_04_25_0028,4,2837.12,37.4532,,,,,,,
,2012_04_25_0031,63,7237.02,29.3686,,,2012_04_25_0028,5,2864.78,36.1533,,,,,,,
,2012_04_25_0031,64,7269.78,30.525,,,2012_04_25_0028,6,2896.74,31.2891,,,,,,,
,2012_04_25_0031,65,7301.07,31.9591,,,2012_04_25_0028,7,2934.35,26.5887,,,,,,,
,2012_04_25_0031,66,7335.38,29.146,,,2012_04_25_0028,8,2977.49,23.1803,bout end,,,,,,
,2012_04_25_0031,67,7366.93,31.6957,bout end,,2012_04_25_0028,9,6020.17,0.3287,bout start; shock,,,,,,
,2012_04_25_0031,68,7741.42,2.6703,bout start; spontaneous,,2012_04_25_0028,10,6042.22,45.3515,,,,,,,
,2012_04_25_0031,69,7777.44,27.7624,,,2012_04_25_0028,11,6064.31,45.2694,,,,,,,
,2012_04_25_0031,70,7813.48,27.7469,,,2012_04_25_0028,12,6085.25,47.7555,,,,,,,
,2012_04_25_0031,71,7848.75,28.3527,,,2012_04_25_0028,13,6114.99,33.6247,bout end,,,,,,
,2012_04_25_0031,72,7883.6,28.6944,,,2012_04_25_0028,14,8526.09,0.4147,bout start; shock,,,,,,
,2012_04_25_0031,73,7921.67,26.2674,,,2012_04_25_0028,15,8547.52,46.6636,,,,,,,
,2012_04_25_0031,74,7949.48,35.9583,bout end,,2012_04_25_0028,16,8570.82,42.9185,,,,,,,
,2012_04_25_0032,1,1942.16,,bout start; shock,,2012_04_25_0028,17,8595.54,40.4531,,,,,,,
,2012_04_25_0032,2,1963.6,46.6418,,,2012_04_25_0028,18,8626.55,32.2477,,,,,,,
,2012_04_25_0032,3,1985.8,45.045,,,2012_04_25_0028,19,8663.04,27.4048,bout end,,,,,,
,2012_04_25_0032,4,2012.11,38.0084,,,2012_04_25_0029,1,1854.42,,bout start; shock,,,,,,
,2012_04_25_0032,5,2044.43,30.9406,,,2012_04_25_0029,2,1880.26,38.6997,,,,,,,
,2012_04_25_0032,6,2084.83,24.7525,bout end,,2012_04_25_0029,3,1902.54,44.8833,,,,,,,
,2012_04_25_0032,7,2900.58,1.2259,bout start; shock,,2012_04_25_0029,4,1930.99,35.1494,,,,,,,
,2012_04_25_0032,8,2923.29,44.0335,,,2012_04_25_0029,5,1967.76,27.1961,bout end,,,,,,
,2012_04_25_0032,9,2949.82,37.6932,,,2012_04_25_0029,6,5682.28,0.2692,bout start; shock,,,,,,
,2012_04_25_0032,10,2978.34,35.0631,,,2012_04_25_0029,7,5703.92,46.2107,,,,,,,
,2012_04_25_0032,11,3015.67,26.7881,,,2012_04_25_0029,8,5728.89,40.0481,,,,,,,
,2012_04_25_0032,12,3049.97,29.1545,bout end,,2012_04_25_0029,9,5755.78,37.1885,,,,,,,
,2012_04_25_0032,13,4534.02,0.6738,bout start; spontaneous,,2012_04_25_0029,10,5782.76,37.0645,,,,,,,
,2012_04_25_0032,14,4567.22,30.1205,,,2012_04_25_0029,11,5811.67,34.5901,,,,,,,
,2012_04_25_0032,15,4602.75,28.1452,,,2012_04_25_0029,12,5853.44,23.9406,bout end,,,,,,
,2012_04_25_0032,16,4637.07,29.1375,,,2012_04_25_0029,13,6514.08,1.5137,bout start; shock,,,,,,
,2012_04_25_0032,17,4670.91,29.5508,,,2012_04_25_0029,14,6539.82,38.85,,,,,,,
,2012_04_25_0032,18,4704.86,29.4551,,,2012_04_25_0029,15,6563.41,42.3908,,,,,,,
,2012_04_25_0032,19,4737.51,30.6279,,,2012_04_25_0029,16,6589.24,38.7147,,,,,,,
,2012_04_25_0032,20,4768.44,32.3311,bout end,,2012_04_25_0029,17,6619.25,33.3222,,,,,,,
,2012_04_25_0032,21,5500.69,1.3657,bout start; spontaneous,,2012_04_25_0029,18,6651.92,30.6091,,,,,,,
,2012_04_25_0032,22,5530.66,33.3667,,,2012_04_25_0029,19,6686.35,29.0444,bout end,,,,,,
,2012_04_25_0032,23,5567.22,27.3523,,,2012_04_25_0029,20,6821.73,7.3866,bout start; shock,,,,,,
,2012_04_25_0032,24,5599.98,30.525,,,2012_04_25_0029,21,6850.54,34.7102,,,,,,,
,2012_04_25_0032,25,5640.04,24.9626,,,2012_04_25_0029,22,6874.28,42.123,,,,,,,
,2012_04_25_0032,26,5679.92,25.0752,,,2012_04_25_0029,23,6900.41,38.2702,,,,,,,
,2012_04_25_0032,27,5715.72,27.933,,,2012_04_25_0029,24,6931.7,31.9591,,,,,,,
,2012_04_25_0032,28,5747.03,31.9387,bout end,,2012_04_25_0029,25,6966.56,28.6862,,,,,,,
,2012_04_25_0032,29,5816.72,14.3493,bout start; shock,,2012_04_25_0029,26,6992.7,38.2555,bout end,,,,,,
,2012_04_25_0032,30,5847.25,32.7547,,,2012_04_25_0029,27,7292.98,3.3302,bout start; spontaneous,,,,,,
,2012_04_25_0032,31,5875.48,35.4233,,,2012_04_25_0029,28,7325.05,31.1818,,,,,,,
,2012_04_25_0032,32,5913.58,26.2467,,,2012_04_25_0029,29,7357.82,30.5157,,,,,,,
,2012_04_25_0032,33,5950.1,27.3823,,,2012_04_25_0029,30,7390.79,30.3306,,,,,,,
,2012_04_25_0032,34,5977.03,37.1333,,,2012_04_25_0029,31,7425.65,28.6862,,,,,,,
,2012_04_25_0032,35,6007.27,33.0688,,,2012_04_25_0029,32,7462.05,27.4725,,,,,,,
,2012_04_25_0032,36,6047.89,24.6184,,,2012_04_25_0029,33,7496.42,29.0951,,,,,,,
,2012_04_25_0032,37,6083.46,28.1136,bout end,,2012_04_25_0029,34,7533.78,26.7666,,,,,,,
,2012_04_25_0032,38,6494.72,2.4316,bout start; spontaneous,,2012_04_25_0029,35,7569.89,27.6932,,,,,,,
,2012_04_25_0032,39,6521.55,37.2717,,,2012_04_25_0029,36,7605.01,28.4738,,,,,,,
,2012_04_25_0032,40,6556.66,28.4819,,,2012_04_25_0029,37,7638.74,29.6472,bout end,,,,,,
,2012_04_25_0032,41,6593,27.5179,,,2012_04_25_0029,38,7869.19,4.3393,bout start; spontaneous,,,,,,
,2012_04_25_0032,42,6631.81,25.7666,,,2012_04_25_0029,39,7903.13,29.4638,,,,,,,
,2012_04_25_0032,43,6667.4,28.0978,,,2012_04_25_0029,40,7938.87,27.9799,,,,,,,
,2012_04_25_0032,44,6704.33,27.0783,,,2012_04_25_0029,41,7978.01,25.5493,,,,,,,
,2012_04_25_0032,45,6740.68,27.5103,,,2012_04_25_0029,42,8016.02,26.3089,,,,,,,
,2012_04_25_0032,46,6774.27,29.7708,,,2012_04_25_0029,43,8054.26,26.1506,,,,,,,
,2012_04_25_0032,47,6805.87,31.6456,bout end,,2012_04_25_0029,44,8098.06,22.8311,bout end,,,,,,
,2012_04_25_0032,48,7836.86,0.9699,bout start; spontaneous,,2012_04_25_0029,45,8277.55,5.5713,bout start; spontaneous,,,,,,
,2012_04_25_0032,49,7863.25,37.8931,,,2012_04_25_0029,46,8314.02,27.4198,,,,,,,
,2012_04_25_0032,50,7898.66,28.2406,,,2012_04_25_0029,47,8349.97,27.8164,,,,,,,
,2012_04_25_0032,51,7933.49,28.7109,,,2012_04_25_0029,48,8386.56,27.3299,,,,,,,
,2012_04_25_0032,52,7966.89,29.9401,,,2012_04_25_0029,49,8425.88,25.4323,,,,,,,
,2012_04_25_0032,53,8002.52,28.0662,,,2012_04_25_0029,50,8462.38,27.3973,,,,,,,
,2012_04_25_0032,54,8037.06,28.9519,,,2012_04_25_0029,51,8501.31,25.6871,bout end,,,,,,
,2012_04_25_0032,55,8070.66,29.7619,,,2012_04_25_0029,52,8720.56,4.561,bout start; spontaneous,,,,,,
,2012_04_25_0032,56,8109.67,25.6345,,,2012_04_25_0029,53,8759.39,25.7533,,,,,,,
,2012_04_25_0032,57,8143.06,29.9491,bout end,,2012_04_25_0029,54,8798.05,25.8665,,,,,,,
,2012_04_25_0032,58,8323.24,5.55,bout start; spontaneous,,2012_04_25_0029,55,8838.26,24.8694,bout end,,,,,,
,2012_04_25_0032,59,8355.67,30.8356,,,2012_04_25_0029,56,9604.98,1.3043,bout start; spontaneous,,,,,,
,2012_04_25_0032,60,8390.6,28.6287,,,2012_04_25_0029,57,9642.28,26.8097,,,,,,,
,2012_04_25_0032,61,8426.02,28.2326,,,2012_04_25_0029,58,9680.36,26.2605,,,,,,,
,2012_04_25_0032,62,8463.44,26.7237,,,2012_04_25_0029,59,9716.03,28.0348,,,,,,,
