,Inhibitory,,,,,,,Excitatory,,,,,Statistics,,,,,,,,,,,,,,,,,,,,,,,Channel events,,,
,Trace name,ID,On time,Frequency,Swim description,,Trace name,ID,On time,Frequency,Swim description,,,Inhibitory Current,Inhibitory Charge,Normalized Inhibitory Current,Normalized Inhibitory Charge,,,,,,,,,,,,,,,,,,,Channel,On Time,Duration (in ms),Description
,2012_04_25_0005,32,6540.56,30.8833,,,2012_04_25_0000,37,8952.42,26.4831,bout end,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0005,33,6571.53,32.2893,,,2012_04_25_0001,1,1694.22,,bout start; shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0005,34,6604.69,30.1568,,,2012_04_25_0001,2,1709.7,64.5995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0005,35,6639.92,28.3849,,,2012_04_25_0001,3,1736.78,36.9276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0005,36,6669.56,33.7382,,,2012_04_25_0001,4,1773.97,26.8889,bout end,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0005,37,6702.66,30.2115,bout end,,2012_04_25_0001,5,2684.16,1.0987,bout start; shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,1,2458.05,,bout start; shock,,2012_04_25_0001,6,2710.01,38.6847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,2,2482.89,40.2576,,,2012_04_25_0001,7,2736.11,38.3142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,3,2506.12,43.0478,,,2012_04_25_0001,8,2767.78,31.5756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,4,2536.86,32.5309,,,2012_04_25_0001,9,2803.82,27.7469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,5,2572.03,28.4333,,,2012_04_25_0001,10,2834.75,32.3311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,6,2606.59,28.9352,bout end,,2012_04_25_0001,11,2870.22,28.1928,bout end,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,7,3271.48,1.504,bout start; spontaneous,,2012_04_25_0001,12,4068.9,0.8343,bout start; shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,8,3297.79,38.0084,,,2012_04_25_0001,13,4099.19,33.0142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,9,3324.98,36.7782,,,2012_04_25_0001,14,4130.46,31.9795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,10,3351.38,37.8788,,,2012_04_25_0001,15,4159.19,34.8068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,11,3378.12,37.3972,,,2012_04_25_0001,16,4195,27.9252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,12,3409.03,32.352,,,2012_04_25_0001,17,4227.34,30.9215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,13,3440.13,32.1543,,,2012_04_25_0001,18,4266.36,25.6279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,14,3471.59,31.7864,bout end,,2012_04_25_0001,19,4298.8,30.8261,bout end,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,15,3970.13,2.0059,bout start; spontaneous,,2012_04_25_0002,1,4331.3,,bout start; shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,16,3994.62,40.833,,,2012_04_25_0002,2,4361.61,32.9924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,17,4018.82,41.3223,,,2012_04_25_0002,3,4401.64,24.9813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,18,4050.56,31.506,,,2012_04_25_0002,4,4434.62,30.3214,bout end,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,19,4081.84,31.9693,,,2012_04_25_0002,5,4499.14,15.4991,bout start; shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,20,4114.46,30.656,,,2012_04_25_0002,6,4523.53,41.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,21,4148.36,29.4985,bout end,,2012_04_25_0002,7,4552.62,34.3761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,22,4774.35,1.5975,bout start; spontaneous,,2012_04_25_0002,8,4585.08,30.8071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,23,4797.18,43.802,,,2012_04_25_0002,9,4617.92,30.4507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,24,4819.77,44.2674,,,2012_04_25_0002,10,4647.46,33.8524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,25,4851.43,31.5856,,,2012_04_25_0002,11,4673.86,37.8788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,26,4882.35,32.3415,,,2012_04_25_0002,12,4701.39,36.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,27,4916.08,29.6472,,,2012_04_25_0002,13,4726.57,39.7141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,28,4948.15,31.1818,,,2012_04_25_0002,14,4755.3,34.8068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,29,4981.06,30.3859,,,2012_04_25_0002,15,4780.8,39.2157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,30,5013.3,31.0174,,,2012_04_25_0002,16,4808.89,35.5999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,31,5039.93,37.5516,,,2012_04_25_0002,17,4846.59,26.5252,bout end,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,32,5063.99,41.5628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,33,5085.45,46.5983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,34,5110.28,40.2739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,35,5145.03,28.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,36,5181.83,27.1739,bout end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,37,6745.01,0.6397,bout start; shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,38,6759.42,69.3963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,39,6781.74,44.8029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,40,6808.76,37.0096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,41,6838.52,33.6022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,42,6873.59,28.5144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012_04_25_0006,43,6907.67,29.3427,bout end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
