Trace name,ID,On time,Freq,Tags,Seconds
2012_04_25_0032,27,5715.72,27.933,,5.71572
2012_04_25_0032,28,5747.03,31.9387,bout end,5.74703
2012_04_25_0032,29,5816.72,14.3493,bout start; shock,5.81672
2012_04_25_0032,30,5847.25,32.7547,,5.84725
2012_04_25_0032,31,5875.48,35.4233,,5.87548
2012_04_25_0032,32,5913.58,26.2467,,5.91358
2012_04_25_0032,33,5950.1,27.3823,,5.950100000000001
2012_04_25_0032,34,5977.03,37.1333,,5.97703
2012_04_25_0032,35,6007.27,33.0688,,6.007270000000001
2012_04_25_0032,36,6047.89,24.6184,,6.047890000000001
2012_04_25_0032,37,6083.46,28.1136,bout end,6.0834600000000005
2012_04_25_0032,38,6494.72,2.4316,bout start; spontaneous,6.49472
2012_04_25_0032,39,6521.55,37.2717,,6.52155
2012_04_25_0032,40,6556.66,28.4819,,6.55666
2012_04_25_0032,41,6593.0,27.5179,,6.593
2012_04_25_0032,42,6631.81,25.7666,,6.631810000000001
2012_04_25_0032,43,6667.4,28.0978,,6.6674
2012_04_25_0032,44,6704.33,27.0783,,6.70433
2012_04_25_0032,45,6740.68,27.5103,,6.74068
2012_04_25_0032,46,6774.27,29.7708,,6.7742700000000005
2012_04_25_0032,47,6805.87,31.6456,bout end,6.80587
2012_04_25_0032,48,7836.86,0.9699,bout start; spontaneous,7.83686
2012_04_25_0032,49,7863.25,37.8931,,7.86325
2012_04_25_0032,50,7898.66,28.2406,,7.8986600000000005
2012_04_25_0032,51,7933.49,28.7109,,7.93349
2012_04_25_0032,52,7966.89,29.9401,,7.96689
2012_04_25_0032,53,8002.52,28.0662,,8.00252
2012_04_25_0032,54,8037.06,28.9519,,8.03706
2012_04_25_0032,55,8070.66,29.7619,,8.07066
2012_04_25_0032,56,8109.67,25.6345,,8.10967
2012_04_25_0032,57,8143.06,29.9491,bout end,8.14306
2012_04_25_0032,58,8323.24,5.55,bout start; spontaneous,8.32324
2012_04_25_0032,59,8355.67,30.8356,,8.35567
2012_04_25_0032,60,8390.6,28.6287,,8.390600000000001
2012_04_25_0032,61,8426.02,28.2326,,8.426020000000001
2012_04_25_0032,62,8463.44,26.7237,,8.46344
2012_04_25_0032,63,8498.37,28.6287,,8.498370000000001
2012_04_25_0032,64,8528.8,32.8623,,8.528799999999999
2012_04_25_0032,65,8557.74,34.5543,bout end,8.55774
2012_04_25_0032,66,9133.48,1.7369,bout start; spontaneous,9.13348
2012_04_25_0032,67,9164.9,31.8269,,9.1649
2012_04_25_0032,68,9199.71,28.7274,,9.19971
2012_04_25_0032,69,9238.5,25.7798,,9.2385
2012_04_25_0032,70,9276.22,26.5111,,9.27622
2012_04_25_0032,71,9314.34,26.2329,bout end,9.31434
2012_04_25_0033,1,1957.37,,bout start; shock,1.9573699999999998
2012_04_25_0033,2,1977.77,49.0196,,1.97777
2012_04_25_0033,3,2001.57,42.0168,,2.00157
2012_04_25_0033,4,2024.93,42.8082,,2.02493
2012_04_25_0033,5,2062.75,26.441,,2.06275
2012_04_25_0033,6,2105.04,23.6463,bout end,2.10504
2012_04_25_0033,7,2641.24,1.865,bout start; spontaneous,2.64124
2012_04_25_0033,8,2680.2,25.6674,,2.6801999999999997
2012_04_25_0033,9,2718.39,26.1849,,2.71839
2012_04_25_0033,10,2755.87,26.6809,,2.75587
2012_04_25_0033,11,2796.62,24.5399,,2.79662
2012_04_25_0033,12,2832.56,27.8242,,2.83256
2012_04_25_0033,13,2871.12,25.9336,,2.87112
2012_04_25_0033,14,2906.18,28.5225,,2.90618
2012_04_25_0033,15,2943.86,26.5393,,2.9438600000000004
2012_04_25_0033,16,2969.28,39.3391,bout end,2.9692800000000004
2012_04_25_0033,17,3833.96,1.1565,bout start; spontaneous,3.8339600000000003
2012_04_25_0033,18,3874.27,24.8077,,3.87427
2012_04_25_0033,19,3910.2,27.8319,,3.9102
2012_04_25_0033,20,3962.24,19.216,,3.96224
2012_04_25_0033,21,3999.12,27.115,,3.99912
2012_04_25_0033,22,4040.47,24.1838,,4.04047
2012_04_25_0033,23,4077.24,27.1961,,4.07724
2012_04_25_0033,24,4117.58,24.7893,bout end,4.11758
2012_04_25_0033,25,5013.67,1.116,bout start; spontaneous,5.01367
2012_04_25_0033,26,5051.8,26.2261,,5.0518
2012_04_25_0033,27,5087.4,28.0899,,5.0874
2012_04_25_0033,28,5130.29,23.3155,,5.1302900000000005
2012_04_25_0033,29,5170.15,25.0878,,5.17015
2012_04_25_0033,30,5204.78,28.8767,,5.2047799999999995
2012_04_25_0033,31,5240.76,27.7932,,5.240760000000001
2012_04_25_0033,32,5276.32,28.1215,bout end,5.27632
2012_04_25_0033,33,6301.78,0.9752,bout start; spontaneous,6.30178
2012_04_25_0033,34,6340.21,26.0213,,6.34021
2012_04_25_0033,35,6378.95,25.8131,bout end,6.37895
2012_04_25_0033,36,6918.52,1.8533,bout start; shock,6.918520000000001
2012_04_25_0033,37,6939.61,47.4158,,6.93961
2012_04_25_0033,38,6961.89,44.8833,,6.96189
2012_04_25_0033,39,6992.25,32.9381,,6.99225
2012_04_25_0033,40,7032.28,24.9813,bout end,7.03228
2012_04_25_0027,1,4578.95,,bout start; shock,4.57895
2012_04_25_0027,2,4603.9,40.0802,,4.603899999999999
2012_04_25_0027,3,4629.87,38.506,,4.62987
2012_04_25_0027,4,4655.5,39.0168,,4.6555
2012_04_25_0027,5,4685.95,32.8407,,4.68595
2012_04_25_0027,6,4719.63,29.6912,bout end,4.71963
2012_04_25_0027,7,5419.22,1.4294,bout start; spontaneous,5.41922
2012_04_25_0027,8,5448.25,34.4471,,5.44825
2012_04_25_0027,9,5476.91,34.8918,,5.47691
2012_04_25_0027,10,5506.14,34.2114,,5.50614
2012_04_25_0027,11,5538.37,31.027,,5.53837
2012_04_25_0027,12,5569.94,31.6756,bout end,5.56994
2012_04_25_0027,13,5799.13,4.3632,bout start; spontaneous,5.79913
2012_04_25_0027,14,5827.63,35.0877,,5.82763
2012_04_25_0027,15,5859.46,31.4169,,5.85946
2012_04_25_0027,16,5888.7,34.1997,,5.8887
2012_04_25_0027,17,5919.21,32.7761,,5.9192100000000005
2012_04_25_0027,18,5951.79,30.6937,,5.95179
2012_04_25_0027,19,5984.49,30.581,,5.98449
2012_04_25_0027,20,6017.9,29.9312,,6.0179
2012_04_25_0027,21,6052.61,28.8101,bout end,6.05261
2012_04_25_0027,22,6220.16,5.9684,bout start; spontaneous,6.22016
2012_04_25_0027,23,6251.54,31.8674,,6.25154
2012_04_25_0027,24,6281.61,33.2557,,6.28161
2012_04_25_0027,25,6311.07,33.9443,bout end,6.31107
2012_04_25_0027,26,6388.58,12.9016,bout start; spontaneous,6.38858
2012_04_25_0027,27,6413.05,40.8664,,6.41305
2012_04_25_0027,28,6439.88,37.2717,,6.4398800000000005
2012_04_25_0027,29,6467.65,36.0101,,6.46765
2012_04_25_0027,30,6499.59,31.3087,,6.49959
2012_04_25_0027,31,6535.04,28.2087,bout end,6.53504
2012_04_25_0027,32,7242.83,1.4128,bout start; spontaneous,7.24283
2012_04_25_0027,33,7268.06,39.6354,,7.26806
2012_04_25_0027,34,7300.08,31.2305,,7.30008
2012_04_25_0027,35,7330.52,32.8515,,7.330520000000001
2012_04_25_0027,36,7364.76,29.2056,,7.36476
2012_04_25_0027,37,7401.89,26.9324,,7.401890000000001
2012_04_25_0027,38,7438.45,27.3523,,7.43845
2012_04_25_0027,39,7474.04,28.0978,,7.4740400000000005
2012_04_25_0027,40,7509.59,28.1294,,7.50959
2012_04_25_0027,41,7551.37,23.9349,,7.55137
2012_04_25_0027,42,7585.15,29.6033,,7.58515
2012_04_25_0027,43,7627.04,23.872,bout end,7.62704
2012_04_25_0027,44,7946.4,3.1313,buot start; spontaneous,7.9464
