Trace name,ID,On time,Freq,Tags,Type,Seconds
2012_08_31_0032,1,5100.89,,bout start; spontaneous,Inhibitory,5.100890000000001
2012_08_31_0032,2,5142.72,23.9063,,Inhibitory,5.142720000000001
2012_08_31_0032,3,5177.28,28.9352,,Inhibitory,5.17728
2012_08_31_0032,4,5208.06,32.4886,,Inhibitory,5.208060000000001
2012_08_31_0032,5,5238.27,33.1016,bout end,Inhibitory,5.238270000000001
2012_08_31_0032,6,5514.67,3.6179,bout start; spontaneous,Inhibitory,5.514670000000001
2012_08_31_0032,7,5550.39,27.9955,,Inhibitory,5.55039
2012_08_31_0032,8,5585.09,28.8184,bout end,Inhibitory,5.58509
2012_08_31_0032,9,6317.79,1.3648,bout start; spontaneous,Inhibitory,6.3177900000000005
2012_08_31_0032,10,6345.95,35.5114,,Inhibitory,6.34595
2012_08_31_0032,11,6383.15,26.8817,,Inhibitory,6.38315
2012_08_31_0032,12,6415.85,30.581,,Inhibitory,6.415850000000001
2012_08_31_0032,13,6447.89,31.211,,Inhibitory,6.44789
2012_08_31_0032,14,6478.67,32.4886,,Inhibitory,6.47867
2012_08_31_0032,15,6510.79,31.1333,bout end,Inhibitory,6.51079
2012_08_31_0032,16,7171.11,1.5144,bout start; spontaneous,Inhibitory,7.17111
2012_08_31_0032,17,7201.88,32.4992,,Inhibitory,7.20188
2012_08_31_0032,18,7234.36,30.7882,,Inhibitory,7.23436
2012_08_31_0032,19,7268.97,28.8934,,Inhibitory,7.26897
2012_08_31_0032,20,7301.31,30.9215,,Inhibitory,7.301310000000001
2012_08_31_0032,21,7334.19,30.4136,,Inhibitory,7.3341899999999995
2012_08_31_0032,22,7366.42,31.027,,Inhibitory,7.366420000000001
2012_08_31_0032,23,7399.31,30.4044,bout end,Inhibitory,7.399310000000001
2012_08_31_0032,24,7986.55,1.7029,bout start; spontaneous,Inhibitory,7.98655
2012_08_31_0032,25,8009.74,43.122,,Inhibitory,8.00974
2012_08_31_0032,26,8029.56,50.4541,,Inhibitory,8.02956
2012_08_31_0032,27,8061.08,31.7259,,Inhibitory,8.06108
2012_08_31_0032,28,8093.74,30.6185,,Inhibitory,8.09374
2012_08_31_0032,29,8129.04,28.3286,,Inhibitory,8.12904
2012_08_31_0032,30,8161.99,30.349,,Inhibitory,8.16199
2012_08_31_0032,31,8194.06,31.1818,,Inhibitory,8.19406
2012_08_31_0032,32,8227.71,29.7177,,Inhibitory,8.22771
2012_08_31_0032,33,8263.92,27.6167,bout end,Inhibitory,8.26392
2012_08_31_0032,34,11509.16,0.3081,bout start; spontaneous,Inhibitory,11.50916
2012_08_31_0032,35,11541.03,31.3775,,Inhibitory,11.541030000000001
2012_08_31_0032,36,11575.49,29.0192,,Inhibitory,11.57549
2012_08_31_0032,37,11612.66,26.9034,,Inhibitory,11.61266
2012_08_31_0032,38,11649.62,27.0563,,Inhibitory,11.64962
2012_08_31_0032,39,11681.55,31.3185,,Inhibitory,11.68155
