Trace name,ID,On time,Freq,Tags,Type,Seconds
2012_12_06_0007,1,1680.11,,bout start; spontaneous,Excitatory,1.68011
2012_12_06_0007,2,1723.65,22.9674,,Excitatory,1.7236500000000001
2012_12_06_0007,3,1767.48,22.8154,,Excitatory,1.7674800000000002
2012_12_06_0007,4,1805.84,26.0688,,Excitatory,1.80584
2012_12_06_0007,5,1843.31,26.688,,Excitatory,1.84331
2012_12_06_0007,6,1876.35,30.2663,,Excitatory,1.87635
2012_12_06_0007,7,1909.43,30.2297,,Excitatory,1.9094300000000002
2012_12_06_0007,8,1943.47,29.3772,bout end,Excitatory,1.94347
2012_12_06_0007,9,3733.43,0.5587,bout start; spontaneous,Excitatory,3.73343
2012_12_06_0007,10,3770.77,26.7809,,Excitatory,3.77077
2012_12_06_0007,11,3811.45,24.5821,,Excitatory,3.81145
2012_12_06_0007,12,3845.92,29.0107,,Excitatory,3.84592
2012_12_06_0007,13,3879.36,29.9043,,Excitatory,3.87936
2012_12_06_0007,14,3912.4,30.2663,,Excitatory,3.9124000000000003
2012_12_06_0007,15,3946.03,29.7354,,Excitatory,3.9460300000000004
2012_12_06_0007,16,3980.18,29.2826,bout end,Excitatory,3.98018
2012_12_06_0007,17,5269.98,0.7753,bout start; spontaneous,Excitatory,5.269979999999999
2012_12_06_0007,18,5313.87,22.7842,,Excitatory,5.31387
2012_12_06_0007,19,5351.44,26.617,,Excitatory,5.351439999999999
2012_12_06_0007,20,5390.74,25.4453,,Excitatory,5.39074
2012_12_06_0007,21,5427.79,26.9906,,Excitatory,5.42779
2012_12_06_0007,22,5463.17,28.2646,,Excitatory,5.46317
2012_12_06_0007,23,5496.0,30.4599,bout end,Excitatory,5.496
2012_12_06_0007,24,9953.65,0.2243,bout start; spontaneous,Excitatory,9.95365
2012_12_06_0007,25,9987.72,29.3513,,Excitatory,9.98772
2012_12_06_0007,26,10025.7,26.3296,,Excitatory,10.0257
2012_12_06_0007,27,10060.16,29.0192,,Excitatory,10.06016
2012_12_06_0007,28,10098.7,25.9471,,Excitatory,10.098700000000001
2012_12_06_0007,29,10132.24,29.8151,,Excitatory,10.13224
2012_12_06_0007,30,10166.09,29.5421,,Excitatory,10.16609
2012_12_06_0007,31,10198.4,30.9502,bout end,Excitatory,10.1984
2012_12_06_0007,32,11591.15,0.718,bout start; spontaneous,Excitatory,11.59115
2012_12_06_0007,33,11643.86,18.9717,,Excitatory,11.64386
2012_12_06_0007,34,11685.16,24.2131,,Excitatory,11.68516
2012_12_06_0007,35,11727.38,23.6855,,Excitatory,11.72738
2012_12_06_0007,36,11759.94,30.7125,,Excitatory,11.75994
2012_12_06_0007,37,11797.26,26.7953,,Excitatory,11.79726
2012_12_06_0007,38,11830.85,29.7708,bout end,Excitatory,11.83085
2012_12_06_0007,39,14670.8,0.3521,bout start; spontaneous,Excitatory,14.6708
2012_12_06_0007,40,14716.38,21.9394,,Excitatory,14.71638
2012_12_06_0007,41,14764.57,20.7512,,Excitatory,14.76457
2012_12_06_0007,42,14800.53,27.8087,,Excitatory,14.80053
2012_12_06_0007,43,14838.27,26.4971,,Excitatory,14.838270000000001
2012_12_06_0007,44,14871.55,30.0481,bout end,Excitatory,14.87155
2012_12_06_0007,45,16110.04,0.8074,bout start; spontaneous,Excitatory,16.11004
2012_12_06_0007,46,16146.78,27.2183,,Excitatory,16.14678
2012_12_06_0007,47,16194.01,21.173,,Excitatory,16.194010000000002
2012_12_06_0007,48,16233.88,25.0815,,Excitatory,16.23388
2012_12_06_0007,49,16270.15,27.571,,Excitatory,16.27015
2012_12_06_0007,50,16302.98,30.4599,,Excitatory,16.30298
2012_12_06_0007,51,16336.4,29.9222,,Excitatory,16.3364
2012_12_06_0007,52,16368.96,30.7125,bout end,Excitatory,16.368959999999998
2012_12_06_0007,53,17905.76,0.6507,bout start; spontaneous,Excitatory,17.905759999999997
2012_12_06_0007,54,17950.78,22.2124,,Excitatory,17.950779999999998
2012_12_06_0007,55,17993.14,23.6072,,Excitatory,17.99314
2012_12_06_0007,56,18031.61,25.9943,,Excitatory,18.03161
2012_12_06_0007,57,18071.69,24.9501,,Excitatory,18.07169
2012_12_06_0007,58,18105.88,29.2483,bout end,Excitatory,18.105880000000003
2012_12_06_0007,59,19426.58,0.7572,bout start; spontaneous,Excitatory,19.42658
2012_12_06_0007,60,19468.42,23.9006,,Excitatory,19.46842
2012_12_06_0007,61,19506.75,26.0892,,Excitatory,19.50675
2012_12_06_0007,62,19543.99,26.8528,,Excitatory,19.54399
2012_12_06_0007,63,19577.5,29.8418,,Excitatory,19.5775
2012_12_06_0007,64,19611.69,29.2483,,Excitatory,19.61169
2012_12_06_0007,65,19643.26,31.6756,,Excitatory,19.643259999999998
2012_12_06_0007,66,19677.99,28.7936,bout end,Excitatory,19.67799
2012_12_06_0007,67,23849.14,0.2397,bout start; spontaneous,Excitatory,23.84914
2012_12_06_0007,68,23882.75,29.753,,Excitatory,23.88275
2012_12_06_0007,69,23916.41,29.7089,,Excitatory,23.91641
2012_12_06_0007,70,23955.97,25.2781,,Excitatory,23.95597
2012_12_06_0007,71,23990.82,28.6944,,Excitatory,23.99082
2012_12_06_0007,72,24023.97,30.1659,,Excitatory,24.023970000000002
2012_12_06_0007,73,24056.03,31.1915,,Excitatory,24.05603
2012_12_06_0007,74,24092.21,27.6396,bout end,Excitatory,24.092209999999998
2012_12_06_0007,75,29102.51,0.1996,bout start; spontaneous,Excitatory,29.10251
2012_12_06_0007,76,29166.35,15.6642,,Excitatory,29.166349999999998
2012_12_06_0007,77,29201.2,28.6944,,Excitatory,29.2012
2012_12_06_0007,78,29233.41,31.0463,,Excitatory,29.23341
2012_12_06_0007,79,29267.31,29.4985,,Excitatory,29.267310000000002
2012_12_06_0007,80,29303.18,27.8784,,Excitatory,29.30318
2012_12_06_0007,81,29336.03,30.4414,,Excitatory,29.33603
2012_12_06_0007,82,29374.39,26.0688,bout end,Excitatory,29.374390000000002
2012_12_06_0007,83,32351.33,0.3359,bout start; spontaneous,Excitatory,32.351330000000004
2012_12_06_0007,84,32391.99,24.5942,,Excitatory,32.39199
2012_12_06_0007,85,32432.36,24.7709,,Excitatory,32.43236
2012_12_06_0007,86,32470.62,26.137,bout end,Excitatory,32.47062
2012_12_06_0007,87,33336.64,1.1547,bout start; spontaneous,Excitatory,33.33664
2012_12_06_0007,88,33381.41,22.3364,,Excitatory,33.38141
2012_12_06_0007,89,33420.25,25.7467,,Excitatory,33.42025
2012_12_06_0007,90,33455.35,28.49,,Excitatory,33.455349999999996
2012_12_06_0007,91,33489.72,29.0951,,Excitatory,33.48972
2012_12_06_0007,92,33522.85,30.1841,bout end,Excitatory,33.52285
2012_12_06_0007,93,34594.98,0.9327,bout start; spontaneous,Excitatory,34.59498000000001
2012_12_06_0007,94,34634.4,25.3678,,Excitatory,34.6344
2012_12_06_0007,95,34674.29,25.0689,,Excitatory,34.67429
2012_12_06_0007,96,34709.07,28.7522,,Excitatory,34.70907
2012_12_06_0007,97,34744.15,28.5063,bout end,Excitatory,34.744150000000005
2012_12_06_0007,98,35797.69,0.9492,bout start; spontaneous,Excitatory,35.79769
2012_12_06_0007,99,35840.28,23.4797,,Excitatory,35.84028
2012_12_06_0007,100,35881.73,24.1255,,Excitatory,35.881730000000005
2012_12_06_0007,101,35920.73,25.641,,Excitatory,35.920730000000006
2012_12_06_0007,102,35958.69,26.3435,bout end,Excitatory,35.958690000000004
2012_12_06_0007,103,38019.18,0.4853,bout start; spontaneous,Excitatory,38.01918
2012_12_06_0007,104,38065.25,21.7061,,Excitatory,38.06525
2012_12_06_0007,105,38107.92,23.4357,,Excitatory,38.10792
2012_12_06_0007,106,38141.64,29.656,,Excitatory,38.14164
2012_12_06_0007,107,38176.44,28.7356,bout end,Excitatory,38.17644000000001
2012_12_06_0007,108,38988.44,1.2315,bout start; spontaneous,Excitatory,38.988440000000004
2012_12_06_0007,109,39032.92,22.482,,Excitatory,39.03292
2012_12_06_0007,110,39067.35,29.0444,,Excitatory,39.06735
