Freq Bin,Rin group_1,Rin group_2,T2_stat,F_stat,p_value
20-30,primary,Low Rin Secondary ,65.11551427764644,21.695398723754327,6.050715484207103e-14
20-30,primary,High Rin Secondary,1172.8691605427068,390.8193053655046,1.1102230246251565e-16
20-30,Low Rin Secondary ,High Rin Secondary,735.5901001782064,244.9787474371271,1.1102230246251565e-16
30-40,primary,Low Rin Secondary ,28.598068792523502,9.522378413519183,3.05763421992733e-06
30-40,primary,High Rin Secondary,170.42602939237702,56.75195287304816,1.1102230246251565e-16
30-40,Low Rin Secondary ,High Rin Secondary,253.72120950028463,84.42766787056104,1.1102230246251565e-16
